Entry,Gene ontology (biological process),Gene ontology (cellular component),Gene ontology (molecular function)
P08153,GO:0031496;GO:0007074;GO:0000083,GO:0005737;GO:0005634,GO:0000981;GO:0036033;GO:0046872;GO:0001012;GO:0000977;GO:0043565
P38727,GO:0016050,GO:0005783;GO:0005794;GO:0016021;GO:0005886,
P25563,,,
Q03913,GO:0006623,GO:0016021,
P53717,,GO:0016021,
P38188,,,
P38322,,,
O13588,,,
Q8TGQ3,,,
P38294,,,
Q06315,GO:0032147;GO:0023014,GO:0005933;GO:0005935;GO:0005934;GO:0005737;GO:0005886,GO:0004674
P38262,GO:0016575;GO:0031939;GO:0045835;GO:0032874;GO:0006355;GO:0006357,GO:0000118;GO:0005634;GO:0070210;GO:0034967,GO:0003714
Q01477,GO:0016579;GO:0060628;GO:0047484;GO:0034517;GO:0006511,GO:0005737;GO:0005829;GO:1990861,GO:0004197;GO:0003729;GO:0004843
P25575,,,
P53182,,GO:0016021,
Q6B0Y8,,,
Q8TGQ9,,,
A0A023PZL2,,GO:0016021,
P53340,,,
P53321,,,
A0A023PXF5,,,
A0A023PXK7,,GO:0016021,
P0C2J5,GO:0015074;GO:0006310;GO:0032196,GO:0005737;GO:0005634,GO:0004190;GO:0005524;GO:0003677;GO:0003887;GO:0046872;GO:0003723;GO:0003964;GO:0004523
Q07649,,,
A0A023PZA9,,,
P53138,,,
A0A023PYJ7,,GO:0016021,
A0A023PXN3,,,
P47132,,,
P47151,,,
Q08736,,GO:0016021,
Q12261,,,
A0A023PZI4,,GO:0016021,
Q12352,,GO:0016021,
P53842,,GO:0016021,
P22579,GO:0051301;GO:0006303;GO:0016575;GO:0061188;GO:0061186;GO:0031939;GO:0016479;GO:0000122;GO:0051038;GO:0045944;GO:0061408;GO:0030174;GO:0000117;GO:0061587,GO:0000785;GO:0033698;GO:0070210;GO:0032221;GO:0070822,GO:0042802;GO:0003713;GO:0003714
P38898,,,
P0C5N9,,GO:0016021,
P87282,,,
P36072,,,
P38178,,,
P40440,GO:0008645,GO:0016021;GO:0005886,GO:0022857
Q06127,,GO:0016021,
Q08728,,,
Q07535,,,
P0C5M2,,GO:0016021,
P0C5R1,,GO:0016021,
Q08872,,,
Q12115,,,
Q03057,,,
Q12264,,,
P53325,,GO:0016021,
P42947,,,
Q8TGL9,,,
P25561,,,
P53828,GO:0030437;GO:0045944,,
P39725,,,
P0C5M7,,GO:0016021,
P0C5R5,,,
O13520,,GO:0016021,
A0A023PXQ4,,GO:0016021,
P25652,,,
Q8TGJ4,,,
A0A023PYH8,,,
P39547,GO:0016050,GO:0005783;GO:0000329;GO:0005794;GO:0016021;GO:0005635;GO:0031965;GO:0005886,
A0A023PXH2,,,
O13542,,,
P53161,,GO:0016021,
P47020,,GO:0016021,
P38827,GO:0030437;GO:0030466;GO:0006348;GO:0044648;GO:0051568;GO:0080182;GO:0000122;GO:0018027;GO:0035066;GO:0045944;GO:1902275;GO:1903341;GO:0043618;GO:0000723,GO:0000781;GO:0048188,GO:0018024;GO:0016279;GO:0003723
P36077,GO:0034599;GO:0032272,GO:0005737;GO:0005634,GO:0005524;GO:0032542
P47821,GO:0000122;GO:0000411;GO:0045944;GO:0010673;GO:0006357,GO:0016592;GO:0005634,GO:0016538;GO:0000979
P53289,,GO:0005737;GO:0005634,
P29478,GO:0006614;GO:0006617,GO:0005786,GO:0008312
P36079,,,
A0A023PXH6,,GO:0016021,
Q8TGR6,,,
O13550,GO:0030437;GO:0045944,GO:0016021,
Q8TGP6,,,
Q08789,,,
A0A023PYI2,,,
P0C5P4,,,
P0C5P5,,GO:0016021,
Q8TGR7,,GO:0016021,
Q8TGR0,,,
Q12195,,,
Q12047,,,
P47003,,GO:0016021,
P0C5L2,,GO:0016021,
Q04502,,,
P0CL30,,GO:0016021,
P53955,GO:0030036;GO:0051017;GO:0070941;GO:0016197;GO:0030950;GO:0072659;GO:0001558;GO:0038203;GO:0031929,GO:0071944;GO:0005886;GO:0031932,GO:0005546;GO:0035091
Q01589,GO:0031505;GO:0000002,GO:0031225;GO:0071944;GO:0005576;GO:0009277;GO:0005739;GO:0005840,GO:0005199
A0A023PYD3,,,
Q6B0Z2,,GO:0016021,
P0C5Q9,,,
O13571,,GO:0005739,
O42831,GO:0055114,,GO:0003824
Q07880,,,
P53106,,GO:0016021,
A0A023PZJ9,,,
Q8TGM4,,,
Q08922,,GO:0016021,
P87267,,GO:0016021,
P36099,,,
P53827,,,
Q03186,,GO:0016021,
O13518,,GO:0016021,
P38184,,,
P0C5L0,,,
P38296,,,
P38303,,,
A0A023PZE2,,GO:0016021,
P40505,GO:0043709;GO:0006342;GO:0016575;GO:0061188;GO:0061186;GO:0031939;GO:0000122;GO:0045944;GO:0061408;GO:2000217,GO:0005829;GO:0005634;GO:0033698;GO:0070210;GO:0070822,GO:0042826
Q8TGR3,,GO:0016021,
A0A023PZH1,,GO:0016021,
Q12327,,,
Q12288,GO:0006875;GO:0006541,GO:0005623;GO:0005737;GO:0005829;GO:0034399;GO:0005634,GO:0016740
A0A023PYF7,,,
Q12337,GO:0015074;GO:0006310;GO:0032196,GO:0005737;GO:0005634,GO:0004190;GO:0005524;GO:0003677;GO:0003887;GO:0046872;GO:0003723;GO:0003964;GO:0004523
P40365,,GO:0016021,
P53162,,,
P25629,,,
P38240,,GO:0016021,
P0C5Q6,,,
P0C5P9,,,
P53284,,,
A0A023PZG9,,GO:0016021,
P0CL26,,,
P53339,,GO:0016021,
P53831,,,
Q8TGK5,,GO:0016021,
P25354,GO:0016050,GO:0071944;GO:0005783;GO:0000324;GO:0005794;GO:0016021;GO:0005886,
Q12077,,GO:0016021,
P0CE96,,,
P53175,,,
P53864,GO:0008361,,
P0CE98,,,
Q8TGQ1,,,
A0A023PZM3,,GO:0016021,
P0CL27,,GO:0016021,
P0CF36,GO:0042183,GO:0005829,GO:0008863;GO:0051287;GO:0016616
Q08241,,,
P38209,,,
P0C5L3,,,
A0A023PXG7,,GO:0016021,
Q08521,,,
A0A023PYJ4,,,
Q00590,,GO:0016021,
Q03885,,GO:0016021,
A0A023PZF3,,GO:0016021,
Q08927,,GO:0016021,
P36071,,,
P36074,,,
P0CL31,,GO:0016021,
Q8TGK7,,,
Q08786,,GO:0016021,
O13545,,GO:0016021,
A0A023PXE8,,,
P0CL38,,GO:0016021,
Q08216,,,
P38327,,GO:0016021,
P49723,GO:0009263;GO:0006260,GO:0005737;GO:0005634;GO:0005971,GO:0046982;GO:0004748
P06839,GO:0000717;GO:0033683;GO:0070816;GO:0045951;GO:0045893;GO:0000019;GO:0010525;GO:0006979;GO:0009411;GO:0006366,GO:0005829;GO:0000112;GO:0005634;GO:0000439;GO:0005675,GO:0051539;GO:0043139;GO:0005524;GO:0003684;GO:0046872
P25554,GO:0034629;GO:0034613;GO:0070868;GO:0043966;GO:0044154;GO:0043971;GO:0043970;GO:0045944,GO:0005671;GO:0000124,GO:0035064;GO:0001135
Q03761,GO:0006325;GO:0016573;GO:0043966;GO:0051123;GO:0006366,GO:0000124;GO:0046695;GO:0005669,GO:0003682;GO:0003677;GO:0042802;GO:0060090;GO:0046982;GO:0001102;GO:0017025
Q04847,GO:0006897;GO:0034260;GO:0006623,GO:0005737;GO:0030659;GO:0005783;GO:0005634,GO:0005095
P06701,GO:0030466;GO:0006348;GO:0006303;GO:0097695;GO:0031507;GO:0001308;GO:0070481;GO:0034398,GO:0005677;GO:0000781;GO:0005739;GO:0000784;GO:0005720;GO:0005724;GO:0005730,GO:0003682;GO:0003690;GO:0042802;GO:0031493;GO:0031491;GO:0003697
Q12218,GO:0031505,GO:0031225;GO:0071944;GO:0005576;GO:0009277;GO:0000324,GO:0005199
P32478,GO:0031505,GO:0005621;GO:0005829;GO:0005576;GO:0009277,GO:0016887;GO:0005199
P41805,GO:0002181;GO:0000027;GO:0006415,GO:0022625,GO:0003735
P25357,GO:0016575;GO:0045835;GO:0000122;GO:0032874;GO:0006355,GO:0005829;GO:0000118;GO:0000790;GO:0005634;GO:0070210;GO:0034967;GO:0017053,GO:0003682;GO:0003677;GO:0042826;GO:0001012;GO:0043565;GO:0003714
P50875,GO:0006325;GO:0016573;GO:0036498;GO:0006357,GO:0000124;GO:0046695,GO:0003712
Q03067,GO:0016578;GO:0045893;GO:0006357,GO:0071819;GO:0005634;GO:0000124,GO:0008047;GO:0003713;GO:0008270
P38788,GO:0051083;GO:0034605;GO:0034620;GO:0051085;GO:0002181;GO:0042026;GO:0006450;GO:0006986;GO:0006364;GO:0006452,GO:0005737;GO:0005844,GO:0016887;GO:0042623;GO:0005524;GO:0031072;GO:0051787;GO:0044183;GO:0051082
P33328,GO:0006897;GO:0006887;GO:0006893;GO:0006906,GO:0071944;GO:0005933;GO:0005768;GO:0016021;GO:0031201;GO:0005802;GO:0030658,GO:0005484
P41057,GO:0002181,GO:0022627,GO:0003735;GO:0008270
P41058,GO:0002181,GO:0022627,GO:0003735;GO:0008270
P06105,GO:0043577;GO:0030466;GO:0006348;GO:0007059;GO:0045141;GO:0000750,GO:0005623;GO:0000781;GO:0005737;GO:0005783;GO:0005789;GO:0000329;GO:0031965;GO:0042175;GO:0005844,GO:0001965;GO:0003729;GO:0003723
A0A023PZD0,,GO:0016021,
A0A023PYE4,,GO:0016021,
P36124,GO:0016575;GO:0051321;GO:0045835;GO:0006355,GO:0070210;GO:0034967,GO:0046872;GO:0035064
P53040,GO:0006325;GO:0016573;GO:0006357;GO:0051123;GO:0006366,GO:0005829;GO:0005634;GO:0000124;GO:0046695;GO:0005669,GO:0003682;GO:0042802;GO:0060090;GO:0046982;GO:0001102
A0A023PZE4,,,
P00359,GO:0006915;GO:0006094;GO:0006096;GO:0015886;GO:0072593,GO:0005737;GO:0005829;GO:0009277;GO:0005811;GO:0005739;GO:0005634;GO:0005886,GO:0004365;GO:0051287;GO:0050661;GO:0003723
Q04673,GO:0006289;GO:0070816;GO:0006357;GO:0006366,GO:0000112;GO:0000439;GO:0005675,GO:0003676;GO:0061630;GO:0008270
Q12216,GO:0007059;GO:1990683;GO:0060969;GO:0016925,GO:0005737;GO:0000790;GO:0005634,GO:0003690;GO:0019789;GO:0008270
P35177,GO:0034622;GO:0006325;GO:0000747;GO:0016573;GO:0006357,GO:0005739;GO:0000790;GO:0000124;GO:0046695,GO:0046982;GO:0005198
P46955,GO:0031505;GO:0042776,GO:0009986;GO:0009277;GO:0000324;GO:0005739,
P21524,GO:0009263;GO:0006260,GO:0005737;GO:0005634;GO:0005971,GO:0005524;GO:0042802;GO:0000166;GO:0004748
P87286,,,
P53075,GO:0030476,GO:0005783;GO:0005739,
P10664,GO:0002181,GO:0022625;GO:0005634,GO:0003723;GO:0003735
P32479,GO:0030702;GO:0006336;GO:0000070;GO:0000122;GO:0031935;GO:0006368,GO:0000775;GO:0000417;GO:0000790,GO:0042802;GO:0003714
Q02772,GO:0033617,GO:0031305;GO:0005758;GO:0005739,
P36135,GO:0000422;GO:0000917;GO:0009272;GO:0031505;GO:0001308;GO:0000272,GO:0009986;GO:0005576;GO:0031314;GO:0009277;GO:0005741,GO:0016798
P36067,,,
P0C5R7,,GO:0016021,
Q12187,,GO:0016021,
Q12444,,,
Q04100,,GO:0016021,
Q03418,,GO:0016021,
Q8TGL8,,,
Q08238,,GO:0016021,
A0A023PXM2,,,
P53268,,GO:0016021,
Q96VG8,,,
P53282,,GO:0016021,
P39559,,GO:0016021,
P0C1V3,,,
A0A023PXM7,,GO:0016021,
P40461,,,
O13548,GO:0045333,GO:0005739,
O13517,,,
Q08540,,,
O13541,,,
Q08604,,GO:0016021,
P0C5Q0,,,
P53103,,,
P53113,,GO:0016021,
P87288,,,
O94086,,,
P0CL40,,GO:0016021,
A0A023PZI9,,,
Q8TGU3,,,
Q07410,,,
P25640,,,
O13521,,,
P40536,,,
P38183,,,
P40898,,,
O13573,,,
O13568,,GO:0016021,
Q08620,,,
Q08018,,,
O13532,,,
O13546,,,
Q08272,,GO:0016021,
P39532,,GO:0016021,
Q03888,,,
O13543,GO:0045333,GO:0016021,
Q06158,,GO:0016021,
P87270,,GO:0016021,
Q06057,,GO:0016021,
P36089,,,
A0A023PXH4,,GO:0016021,
P53165,GO:0034622;GO:0006325;GO:0031048;GO:0016573;GO:0016578;GO:0006406;GO:0045899;GO:0046822;GO:1905634;GO:0006357;GO:1904802,GO:0005829;GO:0071819;GO:0005634;GO:0000124;GO:0046695,GO:0008047;GO:0005198
O13566,,GO:0016021,
Q07658,,,
A0A023PYI5,,GO:0016021,
Q03788,,GO:0016021,
O13540,,GO:0016021,
Q04909,,GO:0016021,
P40163,,GO:0016021,
O13530,,GO:0016021,
P0C5P7,,,
P0C5Q4,,GO:0016021,
P32859,,,
Q8TGP1,,,
P53310,,GO:0016021,
O13569,,,
P0CL36,,GO:0016021,
A0A023PZ94,,GO:0016021,
Q8TGR8,,,
A0A023PXI8,,,
A0A023PYD9,,GO:0016021,
Q03187,,GO:0016021,
P89888,,,
A0A023PXJ3,,GO:0016021,
P38161,,,
P0C2I7,GO:0015074;GO:0006310;GO:0032196,GO:0005737;GO:0005634,GO:0004190;GO:0005524;GO:0003677;GO:0003887;GO:0046872;GO:0003723;GO:0003964;GO:0004523
Q07865,,GO:0016021,
Q08621,,,
Q8TGM0,,,
Q8TGM2,,,
P87272,,GO:0016021,
A0A023PZD5,,,
Q06051,,GO:0016021,
A0A023PXB9,,GO:0016021,
Q12070,,,
Q07438,,,
Q04674,,,
P39000,GO:0030437;GO:0071555;GO:0006031,GO:0005737;GO:0005628,GO:0008047
Q07471,GO:0000955;GO:0009083;GO:0090180;GO:0045944,GO:0005829;GO:0005634,GO:0016831;GO:0000287;GO:0001102;GO:0030976
P38129,GO:0006325;GO:0016573;GO:0051123;GO:0006366,GO:0000124;GO:0046695;GO:0005669,GO:0003682;GO:0042802;GO:0060090;GO:0043130
P21672,GO:0009263;GO:0006260,GO:0005737;GO:0005739;GO:0005971,GO:0005524;GO:0004748
A0A023PZH4,,GO:0016021,
A0A023PXC7,,GO:0016021,
Q02590,,,
P23202,GO:0042994;GO:0042128;GO:0032447;GO:0006808;GO:0010044,GO:0005737,GO:0004602;GO:0051219;GO:0003714
P53181,,GO:0016021,
A0A023PZC3,,,
P40539,,,
P07263,GO:0006427;GO:0032543,GO:0005737;GO:0005829;GO:0005739,GO:0004812;GO:0005524;GO:0004821;GO:0003729
P09007,GO:0006355;GO:0006364,GO:0005737;GO:0005634,GO:0043565;GO:0008270
P40485,GO:0030036;GO:0051017;GO:0070941;GO:0016197;GO:0030950;GO:0072659;GO:0001558;GO:0038203;GO:0031929,GO:0005737;GO:0005739;GO:0005886;GO:0031932,GO:0042802;GO:0005546;GO:0046625
Q02217,,GO:0016021,
Q06267,,,
P0C5E1,,,
P36017,GO:0006897;GO:0006895;GO:0006886;GO:0032511;GO:0036258;GO:0036010;GO:0006623;GO:0032482;GO:0061709;GO:0000011,GO:0005829;GO:0010008;GO:0005770;GO:0005741;GO:0005739,GO:0003924;GO:0005525
Q06836,GO:0006887;GO:0032014;GO:0034067;GO:0034976;GO:0016192,GO:0000139;GO:0005739,GO:0005086
P20424,GO:0006614;GO:0006616,GO:0005829;GO:0005783;GO:0005786,GO:0008312;GO:0030942;GO:0005096;GO:0003924;GO:0005525
Q12030,GO:0006325;GO:0016573;GO:0051123;GO:0006366,GO:0000124;GO:0046695;GO:0005669,GO:0003682;GO:0042802;GO:0060090
Q8TGP4,,,
A0A023PZB8,,GO:0016021,
A0A023PXJ7,,GO:0016021,
P40000,,,
P47038,,,
P0CY09,GO:0001198,GO:0005634,GO:0008301;GO:0001227
P0CL34,,GO:0016021,
P36031,,,
P25614,,,
Q04203,,GO:0016021,
Q07811,,GO:0016021,
P32561,GO:0070932;GO:0070933;GO:0061188;GO:0061186;GO:0031939;GO:0045128;GO:0016479;GO:0000122;GO:0051038;GO:0016239;GO:0045944;GO:0034503;GO:0030174;GO:0000083;GO:0000117;GO:0001302;GO:0006368;GO:0061587,GO:0005737;GO:0000118;GO:0034399;GO:0033698;GO:0070210;GO:0032221;GO:0070822;GO:0070211,GO:0004407;GO:0032041;GO:0003713;GO:0003714
P40348,GO:0006261;GO:0000076;GO:0006272;GO:0006298;GO:0007062,GO:0031390;GO:0005663;GO:0031391;GO:0005634;GO:0031389,GO:0005524;GO:0003677
Q8TGR5,,,
Q07435,,GO:0016021,
P0C5N8,,GO:0016021,
P36109,,,
P0CF34,GO:0007049;GO:0051301;GO:0007265,GO:0016020,GO:0005088
P53862,,GO:0016021,
P0CF33,GO:0007049;GO:0051301;GO:0007265,,GO:0005088
P40479,GO:0000754;GO:0000196;GO:0000188;GO:0035970;GO:0035335;GO:0010969,GO:0005737;GO:0005634,GO:0017017;GO:0033550;GO:0008138
P52871,GO:0031204;GO:0006614;GO:0006616,GO:0031205;GO:0016021;GO:0005784;GO:0071261,GO:0005086
P47059,,,
O13537,,GO:0016021,
O13534,,,
P40490,,,
Q07881,,GO:0016021,
P25602,,,
Q12336,,GO:0016021,
A0A023PZE9,,,
O13586,,,
Q04923,,,
A0A023PZH5,,GO:0016021,
A0A023PXQ9,,GO:0016021,
P0C5L9,,,
P50943,,GO:0016021,
P0CY13,,GO:0005634,GO:0003677
P40352,GO:0001208;GO:0006289;GO:0010767;GO:0006283,GO:0005737;GO:0005634,GO:0005524;GO:0003677;GO:0008094;GO:0003678
P38353,GO:0006620;GO:0006614;GO:0006616,GO:0005783;GO:0005789;GO:0016021;GO:0005784;GO:0071261,GO:0008320;GO:0005048
P21827,GO:0007049;GO:0051301;GO:0006997;GO:0016973;GO:0006606;GO:0019236;GO:0000054;GO:0006407,GO:0005737;GO:0000790;GO:0005634,GO:0005087
Q03178,GO:0031505;GO:0006886,GO:0005621;GO:0005576;GO:0009277;GO:0034399,GO:0005199
P03873,GO:0006397;GO:0022904;GO:0008380,GO:0009535;GO:0016021;GO:0005743;GO:0005739,GO:0009055;GO:0004519;GO:0004518
P38915,GO:0006325;GO:0016573;GO:0000122;GO:0045944;GO:0006357,GO:0000790;GO:0005634;GO:0000124,GO:0017025;GO:0003712
P40339,GO:0006261;GO:0006272;GO:0007062,GO:0031390;GO:0005829;GO:0005663;GO:0031391;GO:0005634;GO:0031389,GO:0005524;GO:0003677
O94084,,GO:0016021,
Q00578,GO:0032508;GO:0033683;GO:0070816;GO:0016973;GO:0001111;GO:0000019;GO:0010525;GO:0009411;GO:0001113;GO:0006366;GO:0006367,GO:0005829;GO:0000112;GO:0005634;GO:0097550;GO:0000439;GO:0005675,GO:0043138;GO:0005524;GO:0003677;GO:0003678;GO:0015616;GO:0008134
P34228,GO:0030435;GO:0006351,GO:0005634,GO:0000981;GO:0044212;GO:0008270
P13099,GO:0006265;GO:0007064;GO:0007131;GO:0000018;GO:0007004,GO:0005634;GO:0031422,GO:0003677;GO:0003916;GO:0003917
P36094,GO:0030474,GO:0005823;GO:0005737;GO:0005821;GO:0005634,GO:0005200
Q03919,GO:0019941;GO:0045116;GO:0030162,GO:0005737;GO:0005634,GO:0031386;GO:0031625
Q03831,,,
P35842,GO:0006796,GO:0071944;GO:0005576;GO:0009277,GO:0003993
P36042,,,
P0C2J6,,GO:0005737,GO:0003723
O13560,,GO:0016021,
A0A023PXF8,,GO:0016021,
P0C5P1,,,
P0CL42,,GO:0016021,
P36128,,,
P87269,GO:0006974,,
Q6Q571,,,
Q6B0X2,,GO:0016021,
Q08533,,GO:0016021,
Q6B0R2,,GO:0016021,
A0A023PZK9,,GO:0016021,
P47092,,,
P0C5L8,,,
Q08916,,,
P47184,,,
P53324,GO:0009056;GO:0009636;GO:0034210;GO:0016125,GO:0071944;GO:0005783;GO:0005788;GO:0005789;GO:0016021;GO:0005811,GO:0016787;GO:0034084
P0CL28,,GO:0016021,
Q8TGL5,,,
Q8TGN8,,,
P53269,,GO:0016021,
P0CF16,GO:0045022;GO:1990126,GO:0005829;GO:0005769;GO:0005770;GO:0005886;GO:0030133;GO:0097422,GO:0005085;GO:0017137;GO:0000149
Q08222,,,
P10863,GO:0031505,GO:0031225;GO:0071944;GO:0005576;GO:0009277;GO:0000324,GO:0005199
P32380,GO:0110120;GO:0000742;GO:0000022;GO:0090063;GO:0051259;GO:0065003;GO:1902440,GO:0005823;GO:0005737;GO:0005822;GO:0005634,GO:0005516;GO:0044877;GO:0005200
Q96VG6,,GO:0016021,
P38233,,GO:0016021,
P0C5R6,,,
P46986,,GO:0016021,
P40895,,,
A0A023PZF9,,GO:0016021,
P53143,,,
P0C5Q5,,,
Q8TGL0,,,
A0A023PXI5,,,
P0C1Z1,,,
Q8TGN7,,GO:0016021,
A0A023PYE9,,,
Q8TGR4,,,
P53232,,,
P18562,GO:0009116;GO:0008655;GO:0044206,GO:0005622,GO:0005525;GO:0004845
P40542,,,
A0A023PXK2,,GO:0016021,
P40162,,,
P40521,,,
P0C2J2,,GO:0005737,GO:0003723
A0A023PXC2,,GO:0016021,
P38168,,GO:0005789;GO:0016021,
P38214,,,
P53856,,GO:0016021,
P25600,GO:0032197,GO:0000943,GO:0003887;GO:0008233;GO:0004540;GO:0003723;GO:0003964
Q870I1,,GO:0016021,
P36073,,,
P0CE99,,,
P36061,,,
P53084,,,
P42946,,GO:0005783;GO:0016021,
P38109,GO:0016236;GO:0046938;GO:0051603;GO:0031638,GO:0000324;GO:0000328,GO:0017171;GO:0004185
P0C5Q2,,,
Q8TGR2,,,
P39973,,,
Q8TGK9,,,
P53126,,,
Q12023,,GO:0016021,
Q8TGL1,,,
Q8TGP3,,,
Q07989,,,
Q6B0X1,,,
P38252,,GO:0016021,
Q8TGN1,,,
Q8TGK8,,,
P87281,,GO:0016021,
Q99318,,,
P35733,,,
P53308,,GO:0016021,
O13572,,GO:0016021,
Q08215,GO:0016562,GO:0005789;GO:0005779;GO:0005778,GO:0043495
A0A023PYG1,,GO:0016021,
Q7LIF1,,,
P87261,,,
P0CL32,,GO:0016021,
A0A023PYD7,,GO:0016021,
P10356,GO:0009058,GO:0005737;GO:0005634,GO:0047536;GO:0030170
P53977,,,
Q08207,,GO:0016021,
P39550,,,
Q12158,GO:0006915;GO:0051301;GO:0006974;GO:0006302;GO:0034087;GO:0007076;GO:0006473;GO:1990414;GO:0007062,GO:0000775;GO:0000794;GO:0005739;GO:0034990;GO:0005634,GO:0003682;GO:0019901
A0A023PZF5,,,
Q8TGM8,,,
O13582,,,
P47106,,GO:0016021,
Q6B0R7,,,
P53085,,,
Q8TGT5,,,
P40587,,GO:0016021,
P53342,,GO:0016021,
P39710,,,
P43611,GO:0030476,GO:0005783,
O13576,,,
Q8TGP8,,,
Q12307,,,
Q8TGL6,,,
Q04521,,,
O13514,,GO:0016021,
Q8TGN6,,,
Q8TGP2,,,
P36030,,,
P87191,,,
A0A023PZG0,,GO:0016021,
A0A023PZG5,,,
A0A023PXD5,,GO:0016021,
P38267,,GO:0016021,
Q8TGR1,,,
P38268,,GO:0016021,
A0A023PZC7,,,
Q12174,,GO:0016021,
A0A023PXD3,,,
Q02659,,,
Q08532,,,
A0A023PXP4,GO:0006974,,
P39541,,GO:0016021,
P0C5R0,,,
O13567,,GO:0016021,
A0A023PZJ3,,GO:0016021,
A0A023PXI0,,GO:0016021,
P40028,GO:0006974;GO:0006281;GO:0031297,GO:0005737;GO:0005634,GO:0017108;GO:0008821;GO:0048256;GO:0000400;GO:0000287;GO:0042803
P47121,,,
P40062,,,
Q08958,GO:0030437;GO:0045944,GO:0016021,
P0C5M5,,,
Q04069,,GO:0016021,
P53632,GO:0006284;GO:0051301;GO:0071044;GO:0042138;GO:0043629;GO:0045910;GO:0071031;GO:0071040;GO:0071039;GO:0071042;GO:0071035;GO:0071036;GO:0071037;GO:0071038;GO:0071047;GO:0071051;GO:0071050;GO:0006400;GO:0034475,GO:0005829;GO:0005730;GO:0005634;GO:0031499,GO:0051575;GO:0046872;GO:0003729;GO:0004652
Q8TGN4,,,
P0C5R2,,,
Q8TGL4,,,
Q6B0Y7,,,
P38190,,GO:0016021,
Q08373,,GO:0016021,
P32445,GO:0006264;GO:0000002;GO:0051096;GO:0090297,GO:0042645;GO:0005739,GO:0003697
P36058,,,
P46999,GO:0031505,GO:0005576;GO:0009277;GO:0000324,GO:0005199
A0A023PYH5,,,
Q8TGM3,,,
Q12249,,GO:0016021,
A0A023PXF2,,,
Q6B0Y1,,GO:0016021,
Q8TGL7,,,
P47012,,,
P38839,GO:0006623,GO:0005737,GO:0004857;GO:0004860
O13561,,GO:0016021,
O13575,,,
Q8TGN0,,,
A0A023PXG3,,GO:0016021,
Q07355,,GO:0016021,
P53926,,GO:0016021,
Q07613,,,
P53240,GO:0008361,,
P38269,,GO:0016021,
Q6B0Y6,,GO:0016021,
P0C261,,GO:0016021,
P38086,GO:0032508;GO:0032392;GO:0006310;GO:0006281;GO:0000724;GO:0030491;GO:0045144;GO:0007131,GO:0005634,GO:0005524;GO:0008094;GO:0003678;GO:0003916;GO:0015616;GO:0003690
Q03834,GO:0036297;GO:0043570;GO:0000710;GO:0006298;GO:0045910;GO:0006290;GO:0043111,GO:0005737;GO:0032300;GO:0032301;GO:0005634,GO:0016887;GO:0005524;GO:0008094;GO:0000400;GO:0030983
Q08647,GO:0000455;GO:0006397;GO:1990481;GO:0008380;GO:0031120;GO:0006400;GO:0031119,GO:0031429;GO:0005737;GO:0005654;GO:0005634,GO:0009982;GO:0003723;GO:0106029
P10355,GO:0033617;GO:0070131,GO:0031305;GO:0005743;GO:0005739,GO:0003743
P04050,GO:0001172;GO:0006366;GO:0019985,GO:0010494;GO:0005739;GO:0005634;GO:0005665,GO:0003677;GO:0003899;GO:0046872
P0CY07,GO:0045895;GO:0007532;GO:0006357,GO:0005634,GO:0008301;GO:0003713
Q00245,GO:0051017;GO:0007015;GO:0030950;GO:0045921;GO:0090338;GO:0032956;GO:0030334;GO:0008360;GO:0007266,GO:0005938;GO:0032153;GO:0005933;GO:0005737;GO:0005829;GO:0043231;GO:0005886,GO:0003924;GO:0005525;GO:0019901
P14743,GO:0018008;GO:0001302,GO:0005737;GO:0005829,GO:0004379
P39551,GO:0016192;GO:0016050,GO:0005783;GO:0005794;GO:0016021;GO:0005886,
P17555,GO:0030042;GO:0007015;GO:0051014;GO:0008154;GO:0000902;GO:0007163;GO:0030836;GO:0007265,GO:0030479;GO:0030864;GO:0043332,GO:0003779;GO:0008179;GO:0042802
P32657,GO:0043044;GO:0071894;GO:2000104;GO:1900050;GO:0071441;GO:2000616;GO:0042766;GO:0034728;GO:0016584;GO:1902275;GO:0060303;GO:0001178;GO:0006369;GO:0006363;GO:0006368,GO:0005739;GO:0000790;GO:0030874;GO:0000124;GO:0046695,GO:0005524;GO:0031490;GO:0003677;GO:0008094;GO:0004386;GO:0035064;GO:0070615;GO:0000182;GO:0044212
Q03690,GO:0048312,GO:0005737;GO:0010494,GO:0003729;GO:0003723
P49956,GO:0006270;GO:0000724;GO:0035753;GO:0007064,GO:0031390;GO:0005739;GO:0043596,GO:0005524;GO:0003677
P04821,GO:0007049;GO:0051301;GO:0007265;GO:0051726;GO:0001302;GO:0007089,GO:0005737;GO:0005829;GO:0005789;GO:0016021;GO:0005634;GO:0005886,GO:0005088
P38110,GO:0006974;GO:0000077;GO:0006975;GO:0006281;GO:0006302;GO:0016572;GO:0008630;GO:1904262;GO:0016310;GO:0010212;GO:0000723,GO:0000781;GO:0005739;GO:0005634,GO:0005524;GO:0004672;GO:0004674;GO:0042162
P24813,GO:0071276;GO:0045944;GO:0036003,GO:0005737;GO:0005634,GO:0001228;GO:0043565
P38696,GO:0000132;GO:0031578;GO:0007097;GO:0030473,GO:0005623;GO:0099738;GO:0005813;GO:0005869;GO:0030286;GO:0016020;GO:0005874,GO:0003774;GO:0005200
