Entry,Gene ontology (biological process),Gene ontology (cellular component),Gene ontology (molecular function)
P38877,GO:0006260;GO:0035753;GO:0007064,GO:0031390;GO:0005634,GO:0003677
P38273,GO:0097352;GO:0006914;GO:0032258;GO:0016236;GO:0043547;GO:0044395;GO:0006623;GO:0007034;GO:0048278,GO:0005829;GO:0005768;GO:0005770;GO:0035658;GO:0032585;GO:0005774,GO:0032266;GO:0010314;GO:0001786;GO:0017112
P18899,GO:0006281,GO:0005737;GO:0005829,GO:0016887;GO:0003924
Q03981,GO:0000754;GO:0000338,GO:0008180;GO:0005737,
P47179,GO:0031505,GO:0031225;GO:0071944;GO:0005576;GO:0009277;GO:0005886,GO:0005199
Q99382,GO:0015031;GO:0006624,GO:0005783;GO:0005789;GO:0016021;GO:0005773,
P23293,GO:0070816;GO:0051571;GO:0045944;GO:0032968;GO:0006468;GO:0006368,GO:0005694;GO:0008024;GO:0000307;GO:0000790;GO:0005634,GO:0005524;GO:0030332;GO:0004693;GO:0008353;GO:0008134;GO:0044212
P53208,,GO:0005739,GO:0003986;GO:0016740
P48813,GO:0003333;GO:0006865;GO:0055085,GO:0071944;GO:0005935;GO:0005783;GO:0016021;GO:0031966;GO:0005739,GO:0015171;GO:0015193
Q12064,GO:0030437;GO:0045944,,
P00890,GO:0046356;GO:0005975;GO:0006101;GO:0006537;GO:0006099,GO:0005829;GO:0005758;GO:0005759;GO:0005739,GO:0004108;GO:0036440
P39533,GO:0019878;GO:0006099,GO:0005829;GO:0005739,GO:0051539;GO:0003994;GO:0046872
P39712,GO:0031589;GO:0000128;GO:0000501,GO:0031225;GO:0005576;GO:0009277,GO:0005537
P29029,GO:0071555;GO:0006032;GO:0000272;GO:0000920,GO:0005935;GO:0005783;GO:0005576;GO:0009277;GO:0000324;GO:0005635,GO:0008061;GO:0008843
P32323,GO:0000752,GO:0031225;GO:0071944;GO:0005576;GO:0009277,GO:0050839
P38090,GO:0003333;GO:1902274;GO:1902269,GO:0005783;GO:0005789;GO:0000329;GO:0016021;GO:0005887,GO:0015171
Q02336,GO:0006325;GO:0006338;GO:0000183;GO:0006348;GO:0016573;GO:0035066;GO:0006357;GO:1990414,GO:0005671;GO:0000781;GO:0005634;GO:0000124;GO:0070461;GO:0046695,GO:0003682;GO:0003677;GO:0001786;GO:0003713;GO:0008270
P25603,,,
Q04368,GO:0000754;GO:0000338,GO:0008180;GO:0005737,
P26449,GO:0044774;GO:0007094;GO:1902499,GO:1990298;GO:0000778;GO:0000776;GO:0033597,GO:0043130
P53722,GO:0034982;GO:0033615,GO:0031314;GO:0005758,GO:0046872;GO:0004222
Q07992,GO:0000282,,
P04710,GO:0009060;GO:0006783;GO:0015886;GO:0006839,GO:0005829;GO:0016021;GO:0005743;GO:0005758;GO:0005739,GO:0005471
Q04149,GO:0006974;GO:0006265;GO:0000727;GO:0031573;GO:0051097;GO:0007131;GO:0000712,GO:0048476;GO:0005634,GO:0048257;GO:0003677;GO:0004857;GO:0046872
