Entry,Gene ontology (biological process),Gene ontology (cellular component),Gene ontology (molecular function)
P40516,GO:0018027;GO:0018026;GO:0016192,GO:0005737,GO:0016279
P40318,GO:0030433,GO:0000837;GO:0005783;GO:0030176;GO:0016021;GO:0005635;GO:0005637,GO:0061630;GO:0004842;GO:0008270
Q06218,GO:0000463,GO:0005730,GO:0005524;GO:0033677;GO:0003678;GO:0003729;GO:0003723;GO:0003724
P38260,GO:0071629;GO:0006417,GO:0005737;GO:0005829;GO:0005783,GO:0000774
P32472,,GO:0005737;GO:0005789;GO:0000324;GO:0016020;GO:0005634,GO:0005528;GO:0003755
P32784,GO:0016024;GO:0008654,GO:0005783;GO:0030176,GO:0004366;GO:0016287;GO:0102420
Q08561,GO:0006974;GO:0006338;GO:0000722,GO:0031011;GO:0005634,
P53905,GO:0030490;GO:0000398;GO:0000956;GO:0008033,GO:0071013;GO:0005737;GO:1990726;GO:0005730;GO:0005634;GO:0005732;GO:0005689;GO:0071004;GO:0046540;GO:0005688,GO:0003723
P29496,GO:0006348;GO:0006270;GO:0000727;GO:0006343;GO:0031939;GO:0033260;GO:0006267;GO:0030174,GO:0071162;GO:0005737;GO:0031261;GO:0042555;GO:0000784;GO:0005656;GO:0005654;GO:0005634;GO:0031298,GO:0005524;GO:0003682;GO:0003678;GO:0003688;GO:0003697
P32467,GO:0098704;GO:0008645,GO:0071944;GO:0005887;GO:0005886,GO:0005351;GO:0005353;GO:0005355;GO:0015149;GO:0015578;GO:0015146
P32361,GO:0030968;GO:0031505;GO:0006020;GO:0070059;GO:0036498;GO:0006397;GO:0034067;GO:0006468;GO:0036290;GO:0034976,GO:0005783;GO:0005789;GO:0030176;GO:1990604;GO:0005634,GO:0005524;GO:0004521;GO:0042802;GO:0046872;GO:0004672;GO:0004674;GO:0051082
P38250,GO:0090158;GO:0072659;GO:0060304,GO:0071944;GO:0033101;GO:0032541;GO:0016021;GO:0005886,GO:0008289
P43594,GO:0042407,GO:0005737;GO:0061617;GO:0044284;GO:0005743;GO:0005739,
P38782,GO:0045944;GO:0006357;GO:0051123,GO:0070847;GO:0016592,GO:0003713
P50095,GO:0006177;GO:0006183,GO:0005737;GO:0005886,GO:0042802;GO:0003938;GO:0046872;GO:0003729;GO:0000166
P38697,GO:0006177;GO:0006183,GO:0000785;GO:0005737,GO:0003682;GO:0003938;GO:0046872;GO:0003729;GO:0000166
P32874,GO:0042759;GO:2001295,GO:0005737;GO:0005739,GO:0003989;GO:0005524;GO:0004075;GO:0046872
P46972,GO:0033108;GO:0006627;GO:0006465,GO:0016021;GO:0042720,GO:0004175;GO:0008236
P53094,GO:0051321;GO:0075297;GO:0007124;GO:0030435;GO:0031929,GO:0005737;GO:0005739,
Q3E798,GO:0070096;GO:0045040,GO:0031307,
P38702,GO:0015880,GO:0016021;GO:0005743;GO:0005739,GO:0015228
P48445,GO:0009305,GO:0005737;GO:0005634,GO:0005524;GO:0004077;GO:0004078;GO:0004079;GO:0004080;GO:0071734
P53296,GO:1901089;GO:0009636;GO:0008202;GO:0034209,GO:0005737;GO:0005783;GO:0030176;GO:0005811,GO:0004026;GO:0008080
P38305,,GO:0005737,
P25694,GO:0046034;GO:0097352;GO:0043624;GO:0071629;GO:0006274;GO:0016320;GO:0071712;GO:0016236;GO:0072671;GO:0051228;GO:0051974;GO:0070651;GO:0071630;GO:0034727;GO:2001168;GO:0010636;GO:1900182;GO:0043161;GO:0043328;GO:0030970;GO:0034517;GO:1990116;GO:1990171;GO:0031134;GO:0120174;GO:0030433,GO:0036266;GO:0005737;GO:0005829;GO:0000837;GO:0005789;GO:0000839;GO:0043332;GO:0005739;GO:0005634;GO:0030894;GO:1990112;GO:0034098,GO:0016887;GO:0005524;GO:0042802;GO:0031593;GO:0019888;GO:0043130
Q06680,GO:0051301;GO:0010032;GO:0051307;GO:0007076;GO:0000070;GO:1903342;GO:0070550;GO:0007130;GO:0070058,GO:0000793;GO:0005737;GO:0000799,GO:0003682
P40563,GO:0034642;GO:0030837,GO:0030479;GO:0015629;GO:0110131;GO:0043332,
P47015,GO:0070124,GO:0005739,GO:0097177;GO:0003743
P38182,GO:0000045;GO:0006914;GO:0000422;GO:0034629;GO:0006995;GO:0032258;GO:0006888;GO:0044805;GO:0016236;GO:0061025;GO:0034727;GO:0034497;GO:0071211;GO:0016241;GO:0061709,GO:0005776;GO:0000421;GO:0033110;GO:0005737;GO:0005829;GO:0019898;GO:0000329;GO:0000407;GO:0120095,GO:0008429;GO:0031386
P43634,GO:0009063;GO:0045893;GO:0006351,GO:0005634,GO:0003700;GO:0000981;GO:0043565;GO:0008270
P03875,GO:0006315;GO:0090615;GO:0006397;GO:0055114;GO:0006278,GO:0005739,GO:0003964
P36154,,GO:0005737,
Q9ZZX0,GO:0006314,GO:0005739,GO:0004519
Q04516,,GO:0016021;GO:0005886,GO:0016491
P32892,GO:0000027;GO:0006364,GO:0005730;GO:0030687,GO:0005524;GO:0003723;GO:0003724
P25596,GO:0006879;GO:0034775;GO:0055085,GO:0005623;GO:0071944;GO:0005768;GO:0005887;GO:0005886;GO:0005774,GO:0015343;GO:0015299
P36041,GO:0000290;GO:0006402;GO:0017148;GO:0040008,GO:0010494;GO:0005844,GO:0005524;GO:0008190;GO:0003729
Q04868,GO:0032447;GO:0006357;GO:0002098,GO:0005737;GO:0033588;GO:0005654,GO:0042802
P40077,GO:0007049;GO:0071555;GO:0001403;GO:0010969;GO:0000920,GO:0005935,GO:0031683;GO:0031435
Q04110,GO:0071555;GO:0007131;GO:1990414;GO:0070193,GO:0005634;GO:0000795,
P00924,GO:0006094;GO:0006096;GO:0032889,GO:0005737;GO:0005829;GO:0000324;GO:0005739;GO:0000015;GO:0005886,GO:0000287;GO:0004634
P32525,GO:0071555;GO:0007165,GO:0005737,
P38728,GO:0071555,GO:0005829;GO:0005768;GO:0016021,
P38737,GO:0043248,GO:0005737;GO:0005634;GO:0000502,GO:0060090
P46957,GO:0006284;GO:0043137;GO:0006271;GO:0006273;GO:0006272;GO:0006298;GO:0090305;GO:0006289;GO:0006301;GO:0006278,GO:0005829;GO:0043625;GO:0005634,GO:0003677;GO:0003887
P38246,GO:0071555,,
Q02202,GO:0071555,GO:0005737,
P20081,GO:0061077;GO:0006325;GO:0006457;GO:0000413;GO:1901710,GO:0005737;GO:0005739;GO:0005634,GO:0005527;GO:0003755
P47158,GO:0016226;GO:0106034;GO:0106035,GO:0005759;GO:0005739,GO:0016740
Q03630,GO:0006914;GO:0006888,GO:0005783;GO:0000407;GO:0030008;GO:1990072;GO:1990071;GO:1990070,GO:0017112
P47818,GO:0006874;GO:0006879;GO:0030026;GO:0006880;GO:0006826;GO:0006828,GO:0005623;GO:0000324;GO:0000329;GO:0005794;GO:0000139;GO:0016021;GO:0005774,GO:0015093;GO:0005381;GO:0005384
P53062,GO:0055088;GO:0051028;GO:0006998,GO:0071944;GO:0005783;GO:0016021;GO:0005635;GO:0031965,
P50275,GO:0000073;GO:0001578;GO:0000022;GO:0007052;GO:0000920;GO:0051255,GO:0005737;GO:0005874;GO:0005880;GO:0005819;GO:0051233,GO:0008017
P33322,GO:0000495;GO:0007049;GO:0051301;GO:1990481;GO:0000154;GO:0006364;GO:0031118;GO:0031120,GO:0030686;GO:0031429;GO:0000775;GO:0005737;GO:0005874;GO:0005730,GO:0003677;GO:0003729;GO:0009982
P54861,GO:0001300;GO:0016236;GO:0061024;GO:0000266;GO:0000001;GO:0007005;GO:0016559;GO:0007031;GO:0051260;GO:0016050,GO:0005737;GO:0005829;GO:0016020;GO:0005741;GO:0005739;GO:0005777,GO:0003924;GO:0005525;GO:0042802;GO:0008017;GO:0042803
P00925,GO:0006094;GO:0006096;GO:0032889,GO:0009898;GO:0005829;GO:0000324;GO:0005739;GO:0000015;GO:0005886,GO:0000287;GO:0004634
P16892,GO:0007050;GO:0051301;GO:0071310;GO:0035556;GO:0001403;GO:0043409;GO:0010526;GO:0000750;GO:0071507;GO:0046827;GO:0046777;GO:0006468;GO:0010468,GO:0005737;GO:0010494;GO:0043332;GO:0005739;GO:0005634;GO:0042597,GO:0005524;GO:0042802;GO:0004707;GO:0004672
P14020,GO:0006488;GO:0019348;GO:0006506;GO:0035269,GO:0071944;GO:0005783;GO:0005789;GO:0016021;GO:0005741;GO:0005739;GO:0042175,GO:0004582
P38715,GO:0019568;GO:0071470;GO:0034599;GO:0042843;GO:0019388,GO:0005737;GO:0005829;GO:0005634,GO:0008106;GO:0004032;GO:0032866;GO:0003729;GO:0016491
P38748,GO:0045471,GO:0005737,GO:0008139;GO:0043130;GO:0008270
P32642,GO:0030036;GO:0045454;GO:0006879;GO:0034599;GO:2000678;GO:0031065,GO:0005623;GO:0005829;GO:0005634,GO:0051537;GO:0015036;GO:0009055;GO:0046872;GO:0015035;GO:0001102
P25616,GO:0006817,,GO:0042131
Q08913,GO:1903424,GO:0071944;GO:0005887;GO:0005886,GO:1903425
P52911,GO:0006073;GO:0031505,GO:0031225;GO:0005576;GO:0009277;GO:0005886,GO:0004338
P47088,GO:0031505;GO:0006506;GO:0097502,GO:0005783;GO:0005789;GO:1990529;GO:0016021,GO:0016758
Q07541,,GO:0005783;GO:0005789;GO:0016021,
P53130,GO:0001403;GO:0007165,GO:0005737,
P53734,GO:0000466;GO:0000463,GO:0005730;GO:0005634;GO:0030687,GO:0005524;GO:0003723;GO:0003724
P39012,GO:0016255,GO:0005783;GO:0042765,
P32528,GO:0000256;GO:0006525;GO:0043419,GO:0005737,GO:0004039;GO:0005524;GO:0046872;GO:0004847
P53913,GO:0006303,GO:0000781;GO:0005634,
P42842,GO:0031505,GO:0005737;GO:0005634,
P41911,GO:0046168;GO:0006072;GO:0006071;GO:0006116,GO:0005829;GO:0009331;GO:0005739;GO:0005634,GO:0004367;GO:0051287;GO:0042803
P30777,GO:0006506,GO:0005783;GO:0005789;GO:0016021,GO:0004584;GO:0000030
P53550,GO:0000290;GO:0031087;GO:0006397;GO:0000184;GO:0060261;GO:0034063,GO:0005737;GO:0098562;GO:0098745;GO:0005634;GO:0000932,GO:0003682;GO:0016787;GO:0050072;GO:0030145;GO:0003729
Q07830,GO:0071555;GO:0006506,GO:0005783;GO:0005789;GO:0016021,GO:0051377;GO:0016772
Q02770,GO:0006397;GO:0000413;GO:0008380,GO:0005737;GO:0005684,GO:0003755
Q12438,GO:0045454;GO:0034599,GO:0005623;GO:0005801;GO:0005789;GO:0000324;GO:0005794;GO:0005796;GO:0016021,GO:0051537;GO:0009055;GO:0004362;GO:0005506;GO:0015035
P20448,GO:0006364,GO:0005730;GO:0005634;GO:0032040,GO:0005524;GO:0034512;GO:0042802;GO:0003723;GO:0008186;GO:0003724;GO:0034511
P38140,GO:0006094;GO:0000122;GO:0061415;GO:0045944;GO:0061414,GO:0005737;GO:0005634,GO:0003700;GO:0001227;GO:0043565;GO:0008270
Q05498,GO:0000480;GO:0000447;GO:0000472;GO:0031167,GO:0005730;GO:0005654;GO:0032040,GO:0004521
P39958,GO:0015031;GO:0007264;GO:0016192,GO:0005737,GO:0005096;GO:0005093;GO:0017137
P32775,GO:0005975;GO:0005978,GO:0005737,GO:0003844;GO:0102752;GO:0043169;GO:0004553
Q99339,,,
Q12051,GO:0045337;GO:0033384;GO:0033386;GO:0015031;GO:0016114,GO:0005739,GO:0004161;GO:0004311;GO:0004337;GO:0046872
P38131,GO:0000032;GO:0006487;GO:0006493,GO:0000324;GO:0005794;GO:0016021,GO:0000026;GO:0000030
P40504,GO:0000032;GO:0031505;GO:0006487,GO:0005794;GO:0016021,GO:0000026;GO:0000030
P38753,GO:1904669;GO:0045324;GO:0071985;GO:1903319;GO:0009306;GO:0006623,GO:0005768;GO:0010008;GO:0033565;GO:0032991,GO:0019904;GO:0046982;GO:0043130
P36007,GO:0042219;GO:0070179;GO:0006563;GO:0042866,,GO:0005524;GO:0008721;GO:0003941;GO:0000287;GO:0030170;GO:0030378;GO:0030848;GO:0018114
P53158,GO:0007032;GO:0032880,GO:0031083;GO:0005768,
P19659,GO:0000122;GO:2000219;GO:0045944;GO:0070202;GO:0051123,GO:0070847;GO:0016592,GO:0001102;GO:0001135;GO:0001095;GO:0001097;GO:0003713
P53968,GO:0071483;GO:0006038;GO:0050801;GO:2001040;GO:0061423;GO:0045944;GO:0007329;GO:0061422;GO:0061400;GO:0061404;GO:0097301;GO:0006355,GO:0005623;GO:0005737;GO:0005634,GO:0003677;GO:0001228;GO:0003700;GO:0046872;GO:0000987;GO:0043565
P14180,GO:0071555;GO:0006031;GO:1902406,GO:0030428;GO:0005935;GO:0016021,GO:0004100
P0C155,,GO:0016021,GO:0046872;GO:0004181
P38770,GO:0055088;GO:0051028;GO:0006998;GO:0015031,GO:0005783;GO:0016021;GO:0005635;GO:0031965,
P22140,GO:0006656;GO:0006646,GO:0005783;GO:0005794;GO:0000139;GO:0016021,GO:0004142;GO:0004307
Q03769,GO:0034498;GO:0006895;GO:0032511;GO:0015031,GO:0030125;GO:0005737;GO:0005829;GO:0005768;GO:0010008,GO:0030276;GO:0080025
Q12480,GO:0033539,GO:0005759;GO:0005739,GO:0009055;GO:0050660;GO:0016491
P40988,GO:0015677;GO:0055072;GO:0034755;GO:0015680;GO:0006829,GO:0071944;GO:0000324;GO:0005887;GO:0005886,GO:0005375;GO:0005381
P32614,GO:0071454,GO:0005829;GO:0005739;GO:0005886,GO:0016156;GO:0000104
P53746,GO:0006879;GO:0015677;GO:0006826;GO:0015891,GO:0005623;GO:0016021;GO:0005886,GO:0052851;GO:0000293;GO:0046872
P39517,GO:0033962;GO:0000290;GO:0006397;GO:0051028;GO:0017148;GO:0045900;GO:0010603;GO:0034063,GO:0005737;GO:0098562;GO:0010494;GO:0000932,GO:0005524;GO:0003682;GO:0003729;GO:0003723;GO:0003724
Q08822,GO:0022904,GO:0031305;GO:0005739,GO:0051539;GO:0009055;GO:0004174;GO:0046872;GO:0048039
P28003,GO:0006338;GO:0016573;GO:0035066;GO:0006357,GO:0005634;GO:0070461,GO:0003682;GO:0003677;GO:0003713
P38211,GO:0006506,GO:0005783;GO:0005789;GO:0030176;GO:0031501;GO:0005739,GO:0004584;GO:0000030
P31116,GO:0009090;GO:0009097;GO:0009086;GO:0009088,GO:0005737;GO:0005634,GO:0004412;GO:0050661
P47040,GO:0015809;GO:0015819;GO:0051453,GO:0005623;GO:0000324;GO:0016021;GO:0005774,
P47130,GO:0000754;GO:0000398;GO:0071033;GO:0016973;GO:0000973;GO:0006368,GO:0008180;GO:0005737;GO:0070390,GO:0003690;GO:0003723
Q06333,GO:0007032;GO:0032880,GO:0031083;GO:0005737,
P39011,GO:0030010;GO:0043547;GO:0019236;GO:0007266,GO:0005737;GO:0005829;GO:0005634,GO:0005096
P47182,GO:0006081,,GO:0047681
P47039,GO:0034276;GO:0097053,GO:0005737;GO:0005739,GO:0047536;GO:0016212;GO:0030170
Q08902,GO:0015696;GO:0035445,GO:0071944;GO:0005887;GO:0005886,GO:0008519
Q08951,GO:0006896;GO:0006886;GO:0006623,GO:0030123;GO:0030665;GO:0010008;GO:0005794,
P40107,GO:0008643;GO:1990570,GO:0030659;GO:0005789;GO:0005794;GO:0000139;GO:0016021;GO:0005739,GO:0015297;GO:0005458;GO:0022857
P43577,GO:0006048,GO:0005737;GO:0005783;GO:0005793;GO:0005794;GO:0005634,GO:0004343;GO:0048029
P43605,GO:0051276;GO:0006281;GO:0006260;GO:0006302;GO:0034087;GO:0018393;GO:0045132;GO:0007076;GO:0034421;GO:0006275;GO:0007088;GO:0007062;GO:0032200;GO:0070058,GO:0005737;GO:0000790;GO:0043596;GO:0005634,GO:0016407;GO:0003682;GO:0046872
P38312,GO:0007120;GO:0006888,GO:0030134;GO:0005783;GO:0016021,
P32898,GO:0006508;GO:0051603,GO:0005758;GO:0005759;GO:0005739,GO:0046872;GO:0004222
Q07505,,GO:0005737;GO:0005739,GO:0008806
P53337,GO:0006888,GO:0030134;GO:0005783;GO:0005789;GO:0016021,GO:0097020
P15646,GO:0000494;GO:1990258;GO:0006356;GO:0000451;GO:0031167;GO:0006364;GO:0043144,GO:0030686;GO:0031428;GO:0015030;GO:0005730;GO:0005654;GO:0032040,GO:1990259;GO:0008171;GO:0003723;GO:0008649
Q04410,GO:0006888;GO:0007030;GO:0009306,GO:0005801;GO:0005737;GO:0005829;GO:0005794;GO:0000139,GO:0044877
P53260,GO:0070681;GO:0032543,GO:0030956;GO:0005743;GO:0005739,GO:0005524;GO:0050567
P38224,GO:0000753;GO:0000755;GO:0032220,GO:0009277;GO:0000324;GO:0016021;GO:0043332,
Q04217,GO:0000462;GO:0042254;GO:0031167,GO:0030686;GO:0005739;GO:0005730;GO:0005654;GO:0005634;GO:0032040,GO:0005524;GO:0003723;GO:0003724
P25653,GO:0007155;GO:0000753;GO:0071555;GO:0000755;GO:0044182;GO:0001403;GO:0008360;GO:0019236,GO:0031225;GO:0071944;GO:0005576;GO:0009277;GO:0005937,
Q03898,GO:1902426;GO:0045104;GO:0000070;GO:0007052;GO:0034501,GO:0000235;GO:0000778;GO:0005737;GO:0005882;GO:0072686;GO:0005634;GO:0000164;GO:0005876;GO:0000922;GO:0005816,GO:0008017;GO:0005200
Q06205,GO:0000412;GO:0000415;GO:0006334,GO:0005730;GO:0005634,GO:0005527;GO:0003755
P47102,GO:0030036;GO:0006888;GO:0006891;GO:0016236;GO:0032012;GO:0006890,GO:0005933;GO:0005829;GO:0019898;GO:0000137,GO:0005086
Q12393,GO:0000002;GO:0097745,GO:0099617;GO:0005739,
P39719,GO:0055074;GO:0071476;GO:0015883;GO:0009272;GO:0006457;GO:0030148;GO:0055085,GO:0005737;GO:0005783;GO:0005789;GO:0016021,GO:0015230
P38199,GO:0006325;GO:0008298;GO:0048255;GO:0051028;GO:0006417;GO:0000723;GO:0007004,GO:0005737;GO:0000784;GO:0000932,GO:0003729
P41815,GO:0003333;GO:0006865;GO:0055085,GO:0005783;GO:0016021;GO:0005739,GO:0015171
P00401,GO:0009060;GO:0015990;GO:0006123,GO:0016021;GO:0005751;GO:0005739,GO:0004129;GO:0020037;GO:0046872
Q99177,GO:0000245,GO:0030532;GO:0005681,GO:0017069
Q05933,GO:0044396;GO:0034314;GO:0051654;GO:0000001,GO:0005885;GO:0005739,GO:0003779
P47187,GO:0043328,GO:0005768;GO:0000324;GO:0016021,
P07347,GO:0016573;GO:0018002;GO:0017198;GO:0006474;GO:0061606,GO:0031415,GO:0042802;GO:1990190;GO:1990189
P54783,GO:0034599;GO:0070485,GO:0031307;GO:0005741;GO:0005739,GO:0003885;GO:0071949
Q03673,,GO:0016021;GO:0031966;GO:0005739,
P36973,GO:0006168;GO:0044209;GO:0006166,GO:0005737,GO:0002055;GO:0003999;GO:0016208
P22516,GO:0032508;GO:0034085;GO:0036297;GO:0007064,GO:0000790;GO:0005634,GO:0005524;GO:0003677;GO:0003678
P00330,GO:0000947;GO:0043458;GO:0006116,GO:0005737;GO:0005886,GO:0004022;GO:0042802;GO:0019170;GO:0008270
P50273,GO:0070131;GO:0070071,GO:0005743,GO:0045182
P38313,GO:0008608;GO:0051301;GO:0051321;GO:0034501,GO:0000817;GO:0005737;GO:0000776;GO:0005634;GO:0005816,
P40458,GO:0000422;GO:0031930,GO:0031307;GO:0034045;GO:0005774,
P38862,GO:0000045;GO:0006914;GO:0000422;GO:0006995;GO:0006501;GO:0032258;GO:0044805;GO:0016236;GO:0034727;GO:0032446,GO:0005737;GO:0005829;GO:0097632;GO:0016020;GO:0005739;GO:0000407,GO:0019778;GO:0019779;GO:0042802
Q05902,GO:0006751;GO:0006805,GO:0000324;GO:0016021;GO:0005886;GO:0005774,GO:0036374;GO:0102953;GO:0103068;GO:0000048
P22936,GO:0006284,GO:0005739;GO:0005634,GO:0008296;GO:0017005;GO:0140078;GO:0003906;GO:0003677;GO:0008311;GO:0008081;GO:0008270
Q05050,GO:0070941,GO:0071944;GO:0005737;GO:0032126;GO:0045121;GO:0005739;GO:0005886,
Q02647,GO:0040001;GO:0030473;GO:0051292;GO:2000582,GO:0005623;GO:0005868;GO:0005881;GO:0030286;GO:0034399;GO:1990429,GO:0045505;GO:0051959;GO:0003774;GO:0044877
Q06349,GO:0000290,GO:0005737,GO:0008409;GO:0046872;GO:0000166;GO:0003723
P40495,GO:0009085;GO:0019878,GO:0005739,GO:0047046;GO:0000287;GO:0051287
Q01389,GO:0032147;GO:0030242;GO:0000196;GO:0030968;GO:0030010;GO:0035556;GO:0006468;GO:0060237;GO:0010447;GO:0007584;GO:0023014,GO:0005935;GO:0005737;GO:0043332,GO:0005524;GO:0004709;GO:0004672;GO:0004674;GO:0004713
P25300,GO:0007120;GO:0007121;GO:0007264,GO:0005938;GO:0005935;GO:0000131,GO:0005088
P16474,GO:0034605;GO:0034620;GO:0051085;GO:0030968;GO:0070880;GO:0000742;GO:0031204;GO:0042026;GO:0006986;GO:0006616;GO:0030433,GO:0005737;GO:0005783;GO:0034663;GO:0005788;GO:0034099;GO:0016020;GO:0005634,GO:0016887;GO:0042623;GO:0005524;GO:0031072;GO:0051787;GO:0044183;GO:0051082
P48524,GO:1904669;GO:0000001;GO:0006513;GO:0000209;GO:0070086,GO:0005737;GO:0000151,GO:0034450
P38934,GO:0008298;GO:0051321;GO:0045048;GO:0007088,GO:0005737;GO:0005783;GO:0042175;GO:0005844;GO:1990904,GO:0003729;GO:0003723
Q12365,GO:0071988;GO:0030474,GO:0005823;GO:0005737,GO:0005198
P32344,GO:0032543;GO:0006397,GO:0031305;GO:0005763;GO:0005739,GO:0003735
P0CX12,GO:0043328,GO:0005768;GO:0000324;GO:0016021,
P01097,GO:0032780,GO:0005739,GO:0042030;GO:0004857
P33204,GO:0044396;GO:0030041;GO:0034314;GO:0000001,GO:0030479;GO:0005885,GO:0003779;GO:0060090
Q08387,GO:0007049;GO:0051301;GO:0071897;GO:0051103;GO:0006310;GO:0006260;GO:0006303;GO:0006297;GO:0001302,GO:0032807,GO:0005524;GO:0003677;GO:0003910;GO:0046872
P38874,GO:0006400;GO:0002098,GO:0005737;GO:0033588;GO:0005654;GO:0005634,GO:0042802
P24482,GO:0007049;GO:0006261;GO:0045005;GO:0042276;GO:0070868,GO:0005737;GO:0008622;GO:0005634,GO:0003677;GO:0003887
Q12247,GO:0000462,GO:0005730;GO:0005634,
Q12743,GO:0030968;GO:0030433,GO:0005783;GO:0000839;GO:0030176,GO:0051787;GO:0044877;GO:1990381
Q08991,GO:1903424,GO:0071944;GO:0005887;GO:0005886,GO:1903425
Q03096,GO:0007004,GO:0000781;GO:0005829;GO:0005634;GO:0005697,GO:0033677;GO:0003924;GO:0042162
P32768,GO:0071361;GO:0034605;GO:0070301;GO:0036281;GO:0000128;GO:0000501,GO:0031225;GO:0071944;GO:0005576;GO:0009277;GO:0005886,GO:0005537
P32497,GO:0001732;GO:0006413,GO:0005737;GO:0010494;GO:0016282;GO:0033290;GO:0005852;GO:0043614,GO:0003729;GO:0003743;GO:0031369
Q08886,GO:0010255;GO:0001403;GO:0042326;GO:0046580;GO:0046579;GO:0000209;GO:0007124;GO:0008360;GO:0006511,GO:0005623;GO:0051285;GO:0005737;GO:0005886,GO:0004862;GO:0032794
P23493,GO:0009060,GO:0005739,
P0CT04,GO:0015031;GO:0030162;GO:0042144,GO:0005737;GO:0005829;GO:0005634,GO:0004866;GO:0004867
Q04087,GO:0051455;GO:0000183;GO:0045143;GO:0034503;GO:0070550;GO:1990414,GO:0033551;GO:0005730;GO:0005634,
Q06604,GO:0051666;GO:0006897,GO:0030479;GO:0005935;GO:0005934;GO:0043332;GO:0016020;GO:0005886,GO:0030674
P38287,GO:0006688;GO:0051999;GO:0030148,GO:0000324;GO:0016021;GO:0005774,GO:0000030
Q12186,GO:0000398,GO:0000243;GO:0005829;GO:0005634,GO:0045131;GO:0003723;GO:0008270
P40568,GO:0051455;GO:0051301;GO:0007059;GO:0000070,GO:0000941;GO:0000776;GO:0000818;GO:0000922,
Q04924,GO:0006491;GO:0000271,GO:0005783;GO:0005788;GO:0017177,
P53978,GO:0006414,GO:0022626,GO:0016887;GO:0005524;GO:0003746
Q06336,GO:0006895;GO:0006896;GO:0043328,GO:0005829;GO:0005802,GO:0043130
P53924,GO:0032186;GO:0000132;GO:0031578;GO:1902364;GO:0031030;GO:0051865;GO:0097271;GO:0016567;GO:0090337;GO:0000921;GO:0006511,GO:0005623;GO:0032153;GO:0032177;GO:0005934;GO:0005737;GO:0005829;GO:0044732;GO:0000151,GO:0046872;GO:0061630;GO:0004842
P25355,GO:0009088,GO:0005737;GO:0005634,
A0A023PZB3,,GO:0005739,
P32191,GO:0006072;GO:0019563;GO:0006071;GO:0006116;GO:0001302,GO:0009331;GO:0031307;GO:0005743;GO:0005758;GO:0005739,GO:0004368;GO:0052591
P23776,GO:0006073;GO:0031505,GO:0005576;GO:0009277;GO:0000324,GO:0004338
Q12280,GO:1903479;GO:0043087;GO:1903471;GO:0007165,GO:0005935;GO:0000142;GO:0005737;GO:0120155,GO:0051015;GO:0005516
P30952,GO:0006097;GO:0006099,GO:0005737;GO:0005829;GO:0009514;GO:0005782;GO:0005777,GO:0004474
P03879,GO:0000372;GO:0090615,GO:0009535;GO:0005739,GO:0004519;GO:0003723
Q08777,GO:0032218,GO:0071627;GO:0005887;GO:0005886,GO:0032217
P40512,GO:0000338,GO:0008180;GO:0005737,
P53226,GO:0000282,GO:0005935;GO:0016021;GO:0005886,
P21592,GO:0045333;GO:0006784;GO:0048034,GO:0016021;GO:0031966;GO:0005739,GO:0008495
P47176,GO:0009082;GO:0009083;GO:0009097;GO:0009098;GO:0019509;GO:0009099,GO:0005737;GO:0005739;GO:0005634,GO:0004084;GO:0052656;GO:0052654;GO:0052655
P00546,GO:0006370;GO:0051301;GO:0044257;GO:0000729;GO:0006303;GO:0000082;GO:0000706;GO:1990758;GO:0090307;GO:1902596;GO:2001033;GO:0051447;GO:1903500;GO:0045930;GO:0045875;GO:0045892;GO:0000122;GO:0018105;GO:0018107;GO:0070816;GO:0008284;GO:0045819;GO:0051446;GO:0045931;GO:0010696;GO:0010571;GO:0045893;GO:0045944;GO:1901319;GO:0010898;GO:0006892;GO:1990139;GO:0034504;GO:1902889;GO:0006468;GO:0010568;GO:1903827;GO:0010569;GO:0010570;GO:0010389;GO:0060303;GO:1905634;GO:0090169;GO:0032210;GO:0007130,GO:0005623;GO:0005935;GO:0000307;GO:0005737;GO:0010494;GO:0005783;GO:0005634,GO:0005524;GO:0030332;GO:0004693;GO:0042393;GO:0004672;GO:0004674;GO:0000993
Q03654,GO:0000350;GO:0000398,GO:0005737;GO:0000974;GO:0071006,GO:0003677
P10869,GO:0009090;GO:0009089;GO:0009086;GO:0009088,GO:0005737,GO:0004072;GO:0005524
P40955,GO:0034221;GO:0006893;GO:0015031,GO:0005829;GO:0034044;GO:0016020,
P62651,GO:0006506;GO:0007265,GO:0005783;GO:0005789;GO:0000506;GO:0016021,GO:0005095
Q04839,GO:0006406,GO:0005737;GO:0031965;GO:0005643,GO:0044877
P42935,GO:0015031;GO:0032447;GO:0006357;GO:0002098,GO:0005737;GO:0033588;GO:0005654;GO:0005634;GO:0008023,GO:0008017
P38894,GO:0031589;GO:0036281;GO:0000128;GO:0000501,GO:0031225;GO:0071944;GO:0005576;GO:0009277,GO:0005537
Q06344,GO:0006364,GO:0005730;GO:0005634,GO:0003723
P41818,GO:0007059;GO:0005978;GO:0043666;GO:0009966,GO:0005737;GO:0005634,GO:0008047;GO:0004864
P53934,GO:0035498;GO:0006479,,GO:0030735;GO:0008757
P53848,GO:0046656;GO:0046654,GO:0005737;GO:0005740;GO:0031966;GO:0005739,GO:0003848;GO:0005524;GO:0004150;GO:0004156;GO:0016301;GO:0046872
